,word,count
0,secondly,3
1,yellow,1
2,four,8
3,jihad,2
4,saved,1
5,whose,2
6,violate,1
7,bureaucrats,1
8,rehabbing,1
9,quadruple,1
10,lord,1
11,sorry,1
12,worth,3
13,risk,3
14,cavaliers,1
15,void,2
16,rise,3
17,every,26
18,thriving,1
19,politician,1
20,believed,2
21,school,4
22,crops,1
23,cause,1
24,companies,1
25,solution,1
26,announced,1
27,ups,1
28,expanded,1
29,force,7
30,leaders,10
31,consistent,3
32,estimates,1
33,budget,14
34,likely,2
35,persuade,1
36,n,1
37,even,22
38,errors,1
39,hide,1
40,christ,1
41,prisons,3
42,ruthless,1
43,hate,3
44,selected,2
45,airmen,1
46,liberty,5
47,liberated,1
48,conduct,1
49,new,20
50,net,3
51,increasing,1
52,ever,6
53,told,2
54,reporter,1
55,men,3
56,hundreds,1
57,met,1
58,protection,4
59,china,6
60,active,2
61,path,3
62,100,2
63,voice,1
64,daughter,1
65,items,1
66,study,1
67,changed,8
68,credit,2
69,military,19
70,changes,1
71,changer,1
72,criticism,1
73,secure,2
74,campaign,10
75,servicemen,1
76,explained,1
77,reagan,6
78,replace,1
79,brought,4
80,ninety,1
81,roles,1
82,counts,1
83,total,3
84,opponents,3
85,criminals,4
86,dna,1
87,would,64
88,army,2
89,century,4
90,arms,2
91,call,7
92,passport,1
93,indiana,1
94,assessment,1
95,tell,23
96,mush,2
97,populations,1
98,successful,1
99,wars,3
100,reign,1
101,phone,2
102,tying,1
103,90,3
104,hole,2
105,hold,4
106,must,3
107,join,1
108,room,1
109,rights,7
110,1999,1
111,work,9
113,exceptions,1
114,example,2
115,give,22
116,preserving,1
117,want,62
118,times,7
119,rid,6
120,end,11
121,thing,19
122,provide,2
123,verify,3
124,stupidity,1
125,opposite,1
126,answer,10
127,faulty,1
128,massive,1
129,minority,1
130,transforming,1
131,earlier,5
132,pimps,1
133,wrong,6
134,president,56
135,law,16
136,promotion,2
137,third,8
138,wins,1
139,acknowledged,1
140,harley,1
141,things,27
142,democratic,2
143,order,2
144,reforming,1
145,office,9
146,govern,2
147,satisfied,1
148,japan,1
149,mayor,1
150,somewhere,3
151,fix,5
152,revenue,1
154,better,13
155,400,1
156,weeks,1
157,easier,1
158,bans,1
159,safe,2
160,finish,1
161,break,9
162,aborted,2
163,jesus,2
164,shadows,1
165,alex,1
166,meat,2
167,chuck,1
168,detroit,1
169,grows,1
170,skills,1
171,addicted,1
172,went,7
173,side,1
174,mean,5
175,signing,1
176,financial,2
177,series,1
178,mandates,1
179,principles,2
180,carry,1
181,taught,2
182,doug,1
183,navy,2
184,message,3
185,god,19
186,content,1
188,banning,3
189,got,25
190,size,4
191,forth,1
192,gop,2
193,independence,1
194,foundation,2
195,abbott,1
196,turning,3
197,barrier,1
198,resume,2
199,veto,1
200,little,1
201,free,1
202,yesterday,1
203,campaigns,2
204,vets,1
205,evil,1
206,wanted,5
207,enormous,1
208,created,6
209,correctness,1
210,days,5
211,filter,1
212,oppose,2
213,isn,2
214,tied,1
215,baltic,2
216,repealed,1
217,rand,1
218,already,7
219,grade,1
220,primary,4
221,instruct,2
222,another,6
223,wasn,6
224,carson,27
225,rated,1
226,hedging,2
227,service,5
228,top,6
229,hawks,1
230,needed,1
231,rates,1
232,thoughts,2
233,architect,1
234,john,6
235,dogs,1
236,listen,5
237,murder,2
238,geneva,1
239,tool,1
240,serve,2
241,took,6
242,rejected,1
243,tithe,1
244,boarding,1
245,target,1
246,frankly,4
247,immigrants,1
248,tree,1
249,zero,2
250,nations,1
251,project,1
252,matter,5
253,street,2
254,friend,4
255,10th,1
256,bidder,1
